oltra_id,oltra_hotelid,oltra_hotel_name,oltra_city,oltra_country,agoda_hotel_id,agoda_search_phrase,agoda_hotel_name,agoda_city,agoda_country,agoda_photo1,agoda_photo2,agoda_photo3,agoda_photo4,agoda_photo5,toolkit_html_or_image_url,notes
1699,,Nobu Hotel Miami Beach,Miami Beach,USA,2340805,"Nobu Hotel Miami Beach, Miami Beach (FL), United States",Nobu Hotel Miami Beach,Miami Beach (FL),United States,http://pix2.agoda.net/hotelimages/2340805/-1/f346f855e26d80d31eb2e7e51e11716c.jpg?s=312x&ca=7&ce=1,http://pix1.agoda.net/hotelimages/234/2340805/2340805_17121300270060370376.jpg?s=312x&ca=6&ce=1,http://pix2.agoda.net/hotelimages/4880773/0/02e0cd3f11d0c1452abfd25e8225fb42.jpg?s=312x&ca=9&ce=1,http://pix4.agoda.net/hotelimages/4880773/0/785a0ebbf0ae328b58e63d076569ca65.jpg?s=312x&ca=9&ce=1,http://pix4.agoda.net/hotelimages/2340805/0/cc329521b6c91b36d426544fc49b4bb0.jpg?s=312x&ca=20&ce=0,,
1700,,Ocean House,Watch Hill,USA,,,,,,,,,,,,
1701,,Park Hyatt Beaver Creek Resort & Spa,Beaver Creek,USA,2457519,"Park Hyatt Beaver Creek Resort And Spa, Beaver Creek (CO), United States",Park Hyatt Beaver Creek Resort And Spa,Beaver Creek (CO),United States,http://pix3.agoda.net/hotelimages/245/2457519/2457519_17111011410059089289.jpg?s=312x&ca=6&ce=1,http://pix3.agoda.net/hotelimages/2448578/297025413/f4fe7b8426c14967af3877144496b7c7.jpg?s=312x&ca=16&ce=1,http://pix5.agoda.net/hotelimages/245/2457519/2457519_17111011410059089296.jpg?s=312x&ca=6&ce=1,http://pix5.agoda.net/hotelimages/245/2457519/2457519_17111011410059089297.jpg?s=312x&ca=6&ce=1,http://pix3.agoda.net/hotelimages/2457519/0/294faaed4a63579708458437b368995f.jpg?s=312x&ca=7&ce=1,,
1702,,Park Hyatt Chicago,Chicago,USA,2466181,"Park Hyatt Chicago, Chicago (IL), United States",Park Hyatt Chicago,Chicago (IL),United States,http://pix1.agoda.net/hotelimages/2466181/0/eda05831c4e3a085183fb91f7bcf8574.jpg?s=312x&ca=0&ce=1,http://pix2.agoda.net/hotelimages/2307383/532516838/bf211ea2800bbadf5268be150be41933.jpg?s=312x&ce=0,http://pix3.agoda.net/hotelimages/2466181/0/c32bc1e60ac4fff673d044e5c2be5909.jpg?s=312x&ca=8&ce=1,http://pix2.agoda.net/hotelimages/2466181/0/d165aba69d17cccd902496f41320292e.jpg?s=312x&ca=0&ce=1,http://pix3.agoda.net/hotelimages/2466181/0/6509574671f75080e3424e42e9764e20.jpg?s=312x&ca=0&ce=1,,
1703,,Park Hyatt New York,New York,USA,689948,"Park Hyatt New York, New York (NY), United States",Park Hyatt New York,New York (NY),United States,http://pix2.agoda.net/hotelimages/689948/0/03288b43ac401240bcc8650d07daf9a4.jpg?s=312x&ca=7&ce=1,http://pix5.agoda.net/hotelimages/689/689948/689948_16042918560041936666.png?s=312x&ca=6&ce=1,http://pix3.agoda.net/hotelimages/689/689948/689948_17081012020055292222.jpg?s=312x&ca=6&ce=1,http://pix5.agoda.net/hotelimages/689/689948/689948_17081012020055292224.jpg?s=312x&ca=6&ce=1,http://pix1.agoda.net/hotelimages/689/689948/689948_17081012020055292225.jpg?s=312x&ca=6&ce=1,,
1704,,Pendry Chicago,Chicago,USA,23116899,"Pendry Chicago, Chicago (IL), United States",Pendry Chicago,Chicago (IL),United States,http://q-xx.bstatic.com/xdata/images/hotel/840x460/429040518.jpg?k=74accc3f839b6f57876981abe71ceba67927eab0986dbd461cb46857024c17ce&o=,,,,,,
1705,,Pendry West Hollywood,West Hollywood,USA,,,,,,,,,,,,
1706,,Post Ranch Inn,Big Sur,USA,72420338,"Post Ranch Inn, Posts (CA), United States",Post Ranch Inn,Posts (CA),United States,,,,,,,
1707,,Rancho Valencia Resort,Rancho Santa Fe,USA,41663368,"Rancho Valencia Resort & Spa, Rancho Santa Fe (CA), United States",Rancho Valencia Resort & Spa,Rancho Santa Fe (CA),United States,http://pix5.agoda.net/hotelimages/41663368/0/7e8c150aac359ae54745eb2b6af62c4d.jpg?s=312x&ce=0,http://pix2.agoda.net/hotelimages/41663368/0/9d078d77ac72463737bbedc4646cfa50.jpg?s=312x&ce=0,http://pix2.agoda.net/hotelimages/41663368/0/b34b64a54d8020342c5e4498a427b7ab.jpg?s=312x&ce=0,http://pix1.agoda.net/hotelimages/41663368/0/768bf7a480d70ef54726919ee71b1382.jpg?s=312x&ce=0,http://pix3.agoda.net/hotelimages/7458669/0/8b0fe5dc18db5d35d66bd96429a4cf5d.jpeg?s=312x&ce=3,,
1708,,Rosewood Miramar Beach,Montecito,USA,15336863,"Rosewood Miramar Beach, Santa Barbara (CA), United States",Rosewood Miramar Beach,Santa Barbara (CA),United States,,,,,,,
1709,,Soho House New York,New York,USA,,,,,,,,,,,,
1710,,"Stanly Ranch, Auberge Resorts Collection",Napa Valley,USA,35486945,"Stanly Ranch, Auberge Collection, Napa (CA), United States","Stanly Ranch, Auberge Collection",Napa (CA),United States,,,,,,,
1711,,The American Club at Destination Kohler,Kohler,USA,,,,,,,,,,,,
1712,,The Beverly Hills Hotel,Beverly Hills,USA,,,,,,,,,,,,
